words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
expect given orders,2,filter_20_Inf_frm01_s25.wav,Temporal,20,Military personnel are expected to obey government orders,118,Temporal_20,9,1.7543859649122806,47,T 20,cornflowerblue
#,1,filter_Inf_1.2_frm01_s03.wav,Spectral,1.2,Play in the street up ahead,121,Spectral_1.2,9,0.0,0,S 1.2,forestgreen
#,1,filter_23_Inf_frm01_s10.wav,Temporal,23,She had your dark suit in greasy wash water all year,124,Temporal_23,9,0.0,0,T 23,royalblue
cost you the same modernising and redecorating,3,filter_Inf_1.2_frm01_s30.wav,Spectral,1.2,How much will it cost to do any necessary modernizing and redecorating,127,Spectral_1.2,9,4.285714285714286,60,S 1.2,forestgreen
medical assistance,2,filter_Inf_1.5_frm01_s13.wav,Spectral,1.5,Call an ambulance for medical assistance,130,Spectral_1.5,9,5.0,62,S 1.5,darkgreen
#,1,filter_4_Inf_1_65.wav,Anchor_Temporal_unIntelligible,4,They exchanged gifts,133,Anchor_Temporal_unIntelligible_4,9,0.0,0,T 4,lightsteelblue
special forces hostages,2,filter_23_Inf_frm01_s23.wav,Temporal,23,Special task forces rescue hostages from kidnappers,136,Temporal_23,9,5.88235294117647,62,T 23,royalblue
#,1,filter_Inf_1.5_frm01_s06.wav,Spectral,1.5,Charlie did you think to measure the tree,139,Spectral_1.5,9,0.0,0,S 1.5,darkgreen
two years since,2,filter_Inf_1.5_frm01_s05.wav,Spectral,1.5,It's been about two years since Davey kept shotguns,142,Spectral_1.5,9,5.88235294117647,45,S 1.5,darkgreen
ground level,2,filter_Inf_1.5_frm01_s33.wav,Spectral,1.5,The same shelter could be built into an embankment or below ground level,145,Spectral_1.5,9,2.7777777777777777,29,S 1.5,darkgreen
#,1,filter_Inf_1.2_frm01_s26.wav,Spectral,1.2,Laugh dance and sing if fortune smiles upon you,4,Spectral_1.2,10,0.0,0,S 1.2,forestgreen
#,1,filter_20_Inf_frm01_s27.wav,Temporal,20,The fish began to leap frantically on the surface of the small lake,7,Temporal_20,10,0.0,0,T 20,cornflowerblue
#,1,filter_23_Inf_frm01_s29.wav,Temporal,23,Brush fires are common in the dry underbrush of Nevada,10,Temporal_23,10,0.0,0,T 23,royalblue
These are going to #,2,filter_20_Inf_frm01_s28.wav,Temporal,20,The easygoing zoologist relaxed throughout the voyage,13,Temporal_20,10,0.0,39,T 20,cornflowerblue
#,1,filter_Inf_1.2_frm01_s06.wav,Spectral,1.2,Charlie did you think to measure the tree,16,Spectral_1.2,10,0.0,0,S 1.2,forestgreen
Special dance #,1,filter_Inf_1.5_frm01_s23.wav,Spectral,1.5,Special task forces rescue hostages from kidnappers,19,Spectral_1.5,10,1.9607843137254901,38,S 1.5,darkgreen
# needs medical assistance,2,filter_Inf_1.5_frm01_s13.wav,Spectral,1.5,Call an ambulance for medical assistance,22,Spectral_1.5,10,5.0,56,S 1.5,darkgreen
The film brings out all the tensions and colour of the time.,7,1_10.wav,Anchor_fullyIntelligible,0,The film brings out all the tensions and colors of the time,25,Anchor_fullyIntelligible_0,10,13.559322033898304,98,Full,coral
Take your key to make a quick escape.,4,filter_Inf_1.5_frm01_s07.wav,Spectral,1.5,Tina got cued to make a quicker escape,28,Spectral_1.5,10,7.894736842105263,70,S 1.5,darkgreen
Alice's ability to work without supervision is noteworthy.,6,filter_23_Inf_frm01_s22.wav,Temporal,23,Alice's ability to work without supervision is noteworthy,31,Temporal_23,10,12.280701754385964,100,T 23,royalblue
